Word	type	syllable	V_Quality	ID	Iteration	stress_level	stress_type	quality	Vowel_Duration_(ms)
kaardaar	CVVC	daar	aa	AR0	2	word	secondary	1	207.1375267
kaa_aa	CVV	kaa	aa	AR0	2	phrase	primary	1	204.9219048
kaa_aa	CVV	kaa	aa	AR0	2	word	primary	1	155.3861897
kaa_aaz	CVV	kaa	aa	AR0	2	phrase	secondary	1	189.4806548
kaa_aaz	CVV	kaa	aa	AR0	2	word	secondary	1	150.9992844
kaca	CV	ka	a	AR0	2	phrase	primary	1	88.5280192
kaca	CV	ka	a	AR0	2	word	primary	1	82.7454175
kacar	CV	ka	a	AR0	2	phrase	unstressed	1	84.0091079
kacar	CV	ka	a	AR0	2	word	unstressed	1	81.9544191
kadaar	CVVC	daar	aa	AR0	2	phrase	primary	1	262.921087
kadaar	CVVC	daar	aa	AR0	2	word	primary	1	226.675004
k_aba	CV	k_a	a	AR0	2	phrase	primary	1	84.91333208
k_aba	CV	k_a	a	AR0	2	word	primary	1	77.72035769
k_abaa_	CV	k_a	a	AR0	2	phrase	unstressed	1	80.81675804
k_abaa_	CV	k_a	a	AR0	2	word	unstressed	1	72.63359179
la_gaar	CVVC	gaar	aa	AR0	2	phrase	primary	1	238.1244759
la_gaar	CVVC	gaar	aa	AR0	2	word	primary	1	213.3483097
maza	CV	ma	a	AR0	2	phrase	primary	1	97.02811478
maza	CV	ma	a	AR0	2	word	primary	1	117.7564687
mazar	CV	ma	a	AR0	2	phrase	unstressed	1	102.749876
mazar	CV	ma	a	AR0	2	word	unstressed	1	97.69264069
mazdaar	CVVC	daar	aa	AR0	2	phrase	primary	1	247.698856
mazdaar	CVVC	daar	aa	AR0	2	word	primary	1	213.2164791
mistrii	CVCC	mist	i	AR0	2	phrase	unstressed	1	94.22549482
mistrii	CVCC	mist	i	AR0	2	word	unstressed	1	87.5928842
mistriyo	CVCC	mist	i	AR0	2	phrase	primary	1	103.5681978
mistriyo	CVCC	mist	i	AR0	2	word	primary	1	88.49960317
muski	CVC	mus	u	AR0	2	phrase	primary	1	97.58655025
muski	CVC	mus	u	AR0	2	word	primary	1	72.534668
muskii	CVC	mus	u	AR0	2	phrase	unstressed	1	83.19503911
muskii	CVC	mus	u	AR0	2	word	unstressed	1	51.59808338
pat_re	CVC	pat_	a	AR0	2	phrase	primary	1	82.28285993
pat_re	CVC	pat_	a	AR0	2	word	primary	1	82.66886574
pat_reez	CVC	pat_	a	AR0	2	phrase	unstressed	1	78.82163826
pat_reez	CVC	pat_	a	AR0	2	word	unstressed	1	71.33298393
peekii	CVV	pee	ee	AR0	2	phrase	primary	1	164.08901
peekii	CVV	pee	ee	AR0	2	phrase	primary	1	174.5121292
peekii	CVV	pee	ee	AR0	2	word	primary	1	171.3804739
peekii	CVV	pee	ee	AR0	2	word	primary	1	165.6085069
peekiiz	CVV	pee	ee	AR0	2	phrase	secondary	1	149.0657993
peekiiz	CVV	pee	ee	AR0	2	word	secondary	1	136.7576923
sa_gtoob	CVCC	sa_g	a	AR0	2	phrase	unstressed	1	76.29864244
sa_gtoob	CVCC	sa_g	a	AR0	2	word	unstressed	1	75.48836436
sa_gyo	CVCC	sa_g	a	AR0	2	phrase	primary	1	97.73995027
sa_gyo	CVCC	sa_g	a	AR0	2	word	primary	1	114.9473322
yaka	CV	ya	a	AR0	2	phrase	primary	1	84.53970798
yaka	CV	ya	a	AR0	2	word	primary	1	75.69373512
yaka_	CV	ya	a	AR0	2	phrase	unstressed	1	101.0091373
yaka_	CV	ya	a	AR0	2	word	unstressed	1	76.06586439
c_eebii	CVV	c_ee	ee	AR0	2	phrase	primary	1	168.7685636
c_eebii	CVV	c_ee	ee	AR0	2	word	primary	1	131.7565657
c_eebiiz	CVV	c_ee	ee	AR0	2	phrase	secondary	1	174.1773152
c_eebiiz	CVV	c_ee	ee	AR0	2	word	secondary	1	142.1364241
_aa_gaar	CVVC	gaar	aa	AR0	2	phrase	secondary	1	228.4451751
_aa_gaar	CVVC	gaar	aa	AR0	2	word	secondary	1	192.8506293
_eekii	CVV	_ee	ee	AR0	2	phrase	primary	1	158.8591737
_eekii	CVV	_ee	ee	AR0	2	word	primary	1	139.6649632
_eekiiz	CVV	_ee	ee	AR0	2	phrase	secondary	1	164.2000657
_eekiiz	CVV	_ee	ee	AR0	2	word	secondary	1	138.3791288
aazvaa_	CVVC	vaa_	aa	NW0	1	phrase	secondary	1	160.3568156
aazvaa_	CVVC	vaa_	aa	NW0	1	word	secondary	1	137.8916278
bazvaa_	CVVC	vaa_	aa	NW0	1	phrase	primary	1	160.8435132
bazvaa_	CVVC	vaa_	aa	NW0	1	word	primary	1	142.1792328
bee_ii	CVV	bee	e___	NW0	1	phrase	primary	1	141.2889362
bee_ii	CVV	bee	e___	NW0	1	word	primary	1	141.0068247
